region,site_name,reef_ID,Grav_tot,lat_dd,lon_dd,hard_coral,algae,mean_complexity
lombok,Gili Goleg,19229,404,-8.74945,115.8900833,20.66666667,4.666666667,1.933333333
lombok,Gili Gede,19230,456,-8.734083333,115.91575,21.16666667,0.666666667,1.6
lombok,Gili Rengit,19230,456,-8.718566667,115.9189167,15.33333333,1.5,2.933333333
lombok,Gili Nanggu,19231,502,-8.714783333,116.0060333,33.16666667,1.666666667,3.133333333
lombok,Trawangan 1,18744,533,-8.354216667,116.0250833,10.66666667,4.833333333,2.8
lombok,Trawangan 2,18744,533,-8.33785,116.038,34.33333333,4,2.266666667
lombok,Kampung Bunutan,19231,502,-8.717316667,116.0393833,28.5,0.166666667,2.2
lombok,Bunutan,19231,502,-8.728216667,116.0474667,8.333333333,0,1.533333333
lombok,Gili Meno,18744,533,-8.347533333,116.0512833,9.666666667,0.833333333,1.4
lombok,Gili Air,18745,866,-8.364233333,116.0728167,4.666666667,20.16666667,1.333333333
lombok,Tanjung Sire 2,18745,866,-8.366683333,116.0973333,9.5,5,1.866666667
lombok,Tanjung Sire 1,18745,866,-8.357583333,116.1084333,22,0,2.866666667
lombok,Gili Lawang,18634,201,-8.297216667,116.6881667,47.5,0.333333333,3
lombok,Gili Sulat 1,18748,310,-8.317816667,116.7059167,74.83333333,0,3.4
lombok,Gili Sulat 3,18748,310,-8.309566667,116.7127833,21.83333333,1,3.2
lombok,Gili Sulat 2,18748,310,-8.315,116.7253167,20.33333333,1,1.666666667
lombok,Gili Kondo,18875,495,-8.442866667,116.7336,11.83333333,3,2.066666667
lombok,Gili Petagan,18875,495,-8.411633333,116.7554,24.66666667,7.5,2.266666667
wakatobi,Karang Kapota 1,16766,23,-5.458433333,123.3793167,28.33333333,0.666666667,1.866666667
wakatobi,Karang Kapota 2,16880,22,-5.5431,123.39185,34.66666667,0.333333333,2.066666667
wakatobi,Karang Kapota 3,16767,22,-5.475166667,123.4175333,31.66666667,0,2.266666667
wakatobi,Kapota 2,16577,25,-5.325816667,123.4609833,23.66666667,0,2.733333333
wakatobi,Kapota 1,16578,71,-5.336066667,123.5073333,55.33333333,0.666666667,2.6
wakatobi,Shark Point,16578,71,-5.283183333,123.5223,45,3,2.533333333
wakatobi,Komponaone,16658,30,-5.424166667,123.584,47.33333333,4.333333333,2.733333333
wakatobi,Kaledupa Atoll 4,16975,17,-5.6762,123.6508667,58.33333333,0.333333333,2.8
wakatobi,Langgira,16769,33,-5.466966667,123.7098667,30.33333333,0,2
wakatobi,Kaledupa Atoll 3,17050,17,-5.714866667,123.71585,37,2.333333333,2.2
wakatobi,Beropa,16885,15,-5.555466667,123.7516833,73,1,3
wakatobi,Furake,16770,42,-5.45935,123.7552,41.66666667,0,2.533333333
wakatobi,Kaledupa Atoll 2,17051,20,-5.77195,123.76195,16.33333333,0,2
wakatobi,Kaledupa Atoll 1,17135,17,-5.847483333,123.8183,22.66666667,0,2.2
wakatobi,Tomia Atoll 1,17135,17,-5.845033333,123.8374167,27.33333333,1.333333333,2.6
wakatobi,Tomia Atoll 2,17215,18,-5.9053,123.8450167,28.33333333,0.333333333,2.533333333
wakatobi,Fan Garden,17052,58,-5.7878,123.8464167,30.33333333,4.666666667,2.2
wakatobi,Lintea,16771,18,-5.523866667,123.8539333,39.66666667,0,2.066666667
wakatobi,Belanda Port,17052,58,-5.723416667,123.8935,76.66666667,0.333333333,2.933333333
raja_ampat,Ruvas,13488,3,-0.564111111,130.2850833,43,2.5,2.48
raja_ampat,Paniki Besar,13488,3,-0.604666667,130.2854722,25.25,0.5,3.65
raja_ampat,Gof,13315,3,-0.344666667,130.3951944,34.75,1.75,3.12
raja_ampat,Mambetron,13431,4,-0.557527778,130.3951944,46.5,3,2.9
raja_ampat,Piaynemo,13374,3,-0.370111111,130.4286389,27,0,3.8
raja_ampat,Arborek,13489,4,-0.563694444,130.5193889,26,0,4.05
raja_ampat,Sawandarek,13490,5,-0.589694444,130.6045,34,2,3.7
raja_ampat,Yenwapnor,13433,5,-0.528555556,130.6051667,29.5,0.5,3.85
raja_ampat,Friwen,13434,5,-0.517611111,130.6401389,33,14,4.5
raja_ampat,Yenbuba 1,13491,5,-0.569972222,130.6577222,39.25,12.75,4.066666667
raja_ampat,Yensawai,13697,3,-0.819111111,130.6673333,61.25,17,3.64
raja_ampat,Yenbuba,13491,5,-0.564555556,130.6674167,30.5,8.25,3.95
raja_ampat,Yenbesar,13434,5,-0.488166667,130.6753056,53.25,2.75,4.56
raja_ampat,Cape Kri,13491,5,-0.560166667,130.6867222,30.25,0,4.1
raja_ampat,Friwen Wall,13434,5,-0.477527778,130.6966944,42.5,1.5,4
raja_ampat,Arefi,13697,3,-0.803888889,130.6989167,43.75,28.25,3.24
raja_ampat,Miskoon,13435,5,-0.497916667,130.7276944,20.25,0.5,4.65
raja_ampat,Saonek Besar,13435,5,-0.473055556,130.7814444,17.75,0.75,4.56
raja_ampat,Saonek Monde,13435,5,-0.451055556,130.7993889,16.75,3.5,4.2
raja_ampat,Timindores,13379,3,-0.43825,130.8149722,24,17,4.28
